Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2370, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 6, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 6, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 6, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 6, 14, 5, 16, 16640, 3979018b
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2064, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2065, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2048, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2064, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2065, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2048, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2370, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2370, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2370, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, 5, 17, 16656, 586d5e4d
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 16, -9999, -9999, 2064, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 16, -9999, -9999, 2065, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 16, -9999, -9999, 2048, ffffffff
ERROR
