Region, Vert, Vert, Vert
, 4:4, 4:3, 5:4
, 4:4, 4:5, 5:4
, 4:6, 4:5, 5:6
, 4:6, 4:7, 5:6
, 4:8, 4:7, 5:8
, 4:9, 5:8, 4:8
, 4:9, 5:10, 4:10
, 4:11, 5:10, 4:10
, 4:11, 5:12, 4:12
, 5:1, 6:0, 5:0
, 4:1, 5:0, 5:1
, 4:1, 5:2, 5:1
, 5:1, 6:2, 5:2
, 5:3, 6:2, 5:2
, 4:3, 5:2, 5:3
, 4:3, 5:4, 5:3
, 5:3, 6:4, 5:4
, 5:5, 6:4, 5:4
, 4:5, 5:4, 5:5
, 4:5, 5:6, 5:5
, 5:5, 6:6, 5:6
, 5:7, 6:6, 5:6
, 4:7, 5:6, 5:7
, 4:7, 5:8, 5:7
, 5:7, 6:8, 5:8
, 5:9, 6:8, 5:8
, 4:9, 5:8, 5:9
, 4:9, 5:10, 5:9
, 5:9, 6:10, 5:10
, 5:11, 6:10, 5:10
, 4:11, 5:10, 5:11
, 4:11, 5:12, 5:11
, 4:20, 4:21, 5:20
, 5:20, 5:21, 4:21
, 5:22, 5:21, 4:21
, 4:22, 4:21, 5:22
, 4:22, 4:23, 5:22
, 5:22, 5:23, 4:23
, 5:24, 5:23, 4:23
, 4:24, 4:23, 5:24
, 4:24, 4:25, 5:24
, 5:24, 5:25, 4:25
, 6:0, 6:1, 5:1
, 6:2, 6:1, 5:1
, 6:2, 6:3, 5:3
, 6:4, 6:3, 5:3
, 6:4, 6:5, 5:5
, 6:6, 6:5, 5:5
, 6:6, 6:7, 5:7
, 6:8, 6:7, 5:7
, 5:22, 5:21, 6:22
, 5:22, 5:23, 6:22
, 5:24, 5:23, 6:24
, 5:24, 5:25, 6:24
, 6:0, 6:1, 7:0
, 7:0, 7:1, 6:1
, 7:2, 7:1, 6:1
, 6:2, 6:1, 7:2
, 6:2, 6:3, 7:2
, 7:2, 7:3, 6:3
, 7:4, 7:3, 6:3
, 6:4, 6:3, 7:4
, 6:4, 6:5, 7:4
, 7:4, 7:5, 6:5
, 7:6, 7:5, 6:5
, 6:6, 6:5, 7:6
, 6:6, 6:7, 7:6
, 7:6, 7:7, 6:7
, 7:8, 7:7, 6:7
, 6:8, 6:7, 7:8
, 6:9, 7:8, 6:8
, 5:9, 6:8, 6:9
, 5:9, 6:10, 6:9
, 6:9, 6:11, 6:10
, 5:11, 6:10, 6:11
, 5:12, 5:11, 6:11
, 6:11, 8:12, 5:12
, 8:12, 9:17, 5:12
, 5:12, 5:20, 9:17
, 6:21, 9:17, 5:20
, 5:20, 5:21, 6:21
, 5:21, 6:22, 6:21
, 6:21, 7:22, 6:22
, 6:23, 7:22, 6:22
, 5:23, 6:22, 6:23
, 5:23, 6:24, 6:23
, 6:23, 7:24, 6:24
, 6:25, 7:24, 6:24
, 5:25, 6:24, 6:25
, 7:22, 7:24, 6:23
, 7:1, 8:0, 7:0
, 7:1, 8:2, 7:2
, 7:3, 8:2, 7:2
, 7:3, 8:4, 7:4
, 7:5, 8:4, 7:4
, 7:5, 8:6, 7:6
, 7:7, 8:6, 7:6
, 7:7, 8:8, 7:8
, 7:9, 8:8, 7:8
, 6:9, 7:8, 7:9
, 6:9, 6:11, 7:9
, 7:9, 8:12, 6:11
, 6:25, 7:24, 7:25
, 8:6, 8:8, 7:7
, 8:8, 8:12, 7:9
, 8:1, 9:0, 8:0
, 7:1, 8:0, 8:1
, 7:1, 8:2, 8:1
, 8:1, 9:2, 8:2
, 8:3, 9:2, 8:2
, 7:3, 8:2, 8:3
, 7:3, 8:4, 8:3
, 8:3, 9:4, 8:4
, 8:5, 9:4, 8:4
, 7:5, 8:4, 8:5
, 7:5, 8:6, 8:5
, 8:5, 9:5, 8:6
, 8:6, 8:8, 9:5
, 9:5, 10:5, 8:8
, 9:17, 9:19, 6:21
, 9:19, 9:21, 6:21
, 6:21, 7:22, 9:21
, 9:24, 9:21, 7:22
, 7:22, 7:24, 9:24
, 8:25, 9:24, 7:24
, 7:24, 7:25, 8:25
, 8:1, 9:0, 9:1
, 8:1, 9:2, 9:1
, 8:3, 9:2, 9:3
, 9:4, 9:3, 8:3
, 9:4, 9:5, 8:5
, 9:0, 9:1, 10:0
, 10:0, 10:1, 9:1
, 10:2, 10:1, 9:1
, 9:2, 9:1, 10:2
, 9:2, 9:3, 10:2
, 10:2, 10:3, 9:3
, 10:4, 10:3, 9:3
, 9:4, 9:3, 10:4
, 9:4, 9:5, 10:4
, 10:4, 10:5, 9:5
, 9:25, 10:25, 9:24
, 8:25, 9:24, 9:25
, 10:1, 11:0, 10:0
, 10:1, 11:2, 10:2
, 10:3, 11:2, 10:2
, 11:1, 12:0, 11:0
, 10:1, 11:0, 11:1
, 10:1, 11:2, 11:1
, 11:1, 12:2, 11:2
, 11:3, 12:2, 11:2
, 10:3, 11:2, 11:3
, 11:3, 11:4, 10:3
, 10:4, 10:3, 11:4
, 10:4, 10:5, 11:4
, 11:4, 11:5, 10:5
, 11:5, 12:6, 10:5
, 8:8, 10:5, 12:6
, 12:6, 13:8, 8:8
, 8:8, 8:12, 13:8
, 13:8, 15:14, 8:12
, 8:12, 9:17, 15:14
, 15:14, 15:16, 9:17
, 12:21, 15:16, 9:17
, 9:17, 9:19, 12:21
, 9:19, 9:21, 12:21
, 12:22, 12:21, 9:21
, 9:24, 9:21, 12:22
, 12:22, 12:24, 9:24
, 9:24, 10:25, 12:24
, 11:25, 12:24, 10:25
, 11:1, 12:0, 12:1
, 12:2, 12:1, 11:1
, 11:3, 11:4, 12:4
, 11:4, 11:5, 12:4
, 12:0, 12:1, 13:0
, 12:2, 12:1, 13:2
, 12:3, 13:2, 12:2
, 11:3, 12:2, 12:3
, 11:3, 12:4, 12:3
, 12:3, 13:4, 12:4
, 12:5, 13:4, 12:4
, 11:5, 12:4, 12:5
, 11:5, 12:6, 12:5
, 12:5, 13:6, 12:6
, 13:6, 13:8, 12:6
, 12:21, 13:22, 12:22
, 12:23, 13:22, 12:22
, 12:22, 12:24, 12:23
, 12:23, 13:24, 12:24
, 12:25, 13:24, 12:24
, 11:25, 12:24, 12:25
, 13:22, 13:24, 12:23
, 13:1, 14:0, 13:0
, 12:1, 13:0, 13:1
, 12:1, 13:2, 13:1
, 13:1, 14:2, 13:2
, 13:3, 14:2, 13:2
, 12:3, 13:2, 13:3
, 12:3, 13:4, 13:3
, 13:3, 14:4, 13:4
, 13:5, 14:4, 13:4
, 12:5, 13:4, 13:5
, 12:5, 13:6, 13:5
, 13:5, 14:6, 13:6
, 13:7, 14:6, 13:6
, 13:6, 13:8, 13:7
, 13:7, 15:8, 13:8
, 13:21, 15:16, 12:21
, 12:21, 13:22, 13:21
, 13:22, 13:24, 14:25
, 13:25, 14:25, 13:24
, 12:25, 13:24, 13:25
, 14:0, 14:1, 13:1
, 14:2, 14:1, 13:1
, 14:2, 14:3, 13:3
, 14:4, 14:3, 13:3
, 14:0, 14:1, 15:0
, 15:0, 15:1, 14:1
, 15:2, 15:1, 14:1
, 14:2, 14:1, 15:2
, 14:2, 14:3, 15:2
, 15:2, 15:3, 14:3
, 15:4, 15:3, 14:3
, 14:4, 14:3, 15:4
, 14:5, 15:4, 14:4
, 13:5, 14:4, 14:5
, 13:5, 14:6, 14:5
, 14:5, 15:6, 14:6
, 14:7, 15:6, 14:6
, 13:7, 14:6, 14:7
, 14:7, 15:8, 13:7
, 15:0, 15:1, 16:0
, 16:0, 16:1, 15:1
, 16:2, 16:1, 15:1
, 15:2, 15:1, 16:2
, 15:2, 15:3, 16:2
, 16:2, 16:3, 15:3
, 16:4, 16:3, 15:3
, 15:4, 15:3, 16:4
, 15:5, 16:4, 15:4
, 14:5, 15:4, 15:5
, 14:5, 15:6, 15:5
, 15:5, 16:6, 15:6
, 15:7, 16:6, 15:6
, 14:7, 15:6, 15:7
, 14:7, 15:8, 15:7
, 15:7, 16:8, 15:8
, 15:9, 16:8, 15:8
, 13:8, 15:8, 15:9
, 13:8, 15:14, 15:9
, 15:9, 17:10, 15:14
, 16:14, 17:10, 15:14
, 15:15, 16:14, 15:14
, 15:14, 15:16, 15:15
, 15:15, 15:17, 15:16
, 13:21, 15:16, 15:17
, 15:17, 17:21, 13:21
, 17:22, 17:21, 13:21
, 16:24, 17:22, 13:21
, 13:22, 13:21, 16:24
, 13:22, 14:25, 16:24
, 15:25, 16:24, 14:25
, 16:1, 17:0, 16:0
, 16:1, 17:2, 16:2
, 16:3, 17:2, 16:2
, 16:3, 17:4, 16:4
, 16:5, 17:4, 16:4
, 15:5, 16:4, 16:5
, 15:5, 16:6, 16:5
, 16:5, 17:6, 16:6
, 16:7, 17:6, 16:6
, 15:7, 16:6, 16:7
, 15:7, 16:8, 16:7
, 15:9, 16:8, 16:9
, 15:15, 16:14, 16:15
, 15:15, 15:17, 16:15
, 16:24, 16:25, 15:25
, 17:1, 18:0, 17:0
, 16:1, 17:0, 17:1
, 16:1, 17:2, 17:1
, 17:1, 18:2, 17:2
, 17:3, 18:2, 17:2
, 16:3, 17:2, 17:3
, 16:3, 17:4, 17:3
, 17:3, 18:4, 17:4
, 17:5, 18:4, 17:4
, 16:5, 17:4, 17:5
, 16:5, 17:6, 17:5
, 17:5, 18:6, 17:6
, 17:7, 18:6, 17:6
, 16:7, 17:6, 17:7
, 17:8, 17:7, 16:7
, 16:8, 16:7, 17:8
, 16:8, 16:9, 17:8
, 17:8, 17:9, 16:9
, 17:10, 17:9, 16:9
, 15:9, 16:9, 17:10
, 17:10, 18:12, 16:14
, 17:21, 18:20, 15:17
, 17:22, 17:24, 16:24
, 16:24, 16:25, 17:24
, 17:24, 17:25, 16:25
, 17:22, 17:24, 17:23
, 18:0, 18:1, 17:1
, 18:2, 18:1, 17:1
, 18:2, 18:3, 17:3
, 18:4, 18:3, 17:3
, 17:8, 17:7, 18:8
, 17:8, 17:9, 18:8
, 17:10, 17:9, 18:10
, 18:10, 18:12, 17:10
, 17:22, 17:21, 18:22
, 17:22, 17:23, 18:22
, 17:24, 17:23, 18:24
, 17:24, 17:25, 18:24
, 18:0, 18:1, 19:0
, 19:0, 19:1, 18:1
, 19:2, 19:1, 18:1
, 18:2, 18:1, 19:2
, 18:2, 18:3, 19:2
, 19:2, 19:3, 18:3
, 19:4, 19:3, 18:3
, 18:4, 18:3, 19:4
, 18:5, 19:4, 18:4
, 17:5, 18:4, 18:5
, 17:5, 18:6, 18:5
, 18:5, 19:6, 18:6
, 18:7, 19:6, 18:6
, 17:7, 18:6, 18:7
, 17:7, 18:8, 18:7
, 18:7, 19:8, 18:8
, 18:9, 19:8, 18:8
, 17:9, 18:8, 18:9
, 17:9, 18:10, 18:9
, 18:9, 19:10, 18:10
, 18:11, 19:10, 18:10
, 18:10, 18:12, 18:11
, 18:11, 19:12, 18:12
, 18:13, 19:12, 18:12
, 16:14, 18:12, 18:13
, 16:14, 16:15, 18:13
, 18:13, 19:14, 16:15
, 19:14, 19:16, 16:15
, 15:17, 16:15, 19:16
, 19:16, 19:18, 15:17
, 15:17, 18:20, 19:18
, 19:18, 19:20, 18:20
, 18:21, 19:20, 18:20
, 17:21, 18:20, 18:21
, 17:21, 18:22, 18:21
, 18:21, 19:22, 18:22
, 18:23, 19:22, 18:22
, 17:23, 18:22, 18:23
, 17:23, 18:24, 18:23
, 18:23, 19:24, 18:24
, 18:25, 19:24, 18:24
, 17:25, 18:24, 18:25
, 18:5, 19:4, 19:5
, 18:5, 19:6, 19:5
, 19:0, 19:1, 20:0
, 20:0, 20:1, 19:1
, 20:2, 20:1, 19:1
, 19:2, 19:1, 20:2
, 19:2, 19:3, 20:2
, 19:4, 19:3, 20:4
, 19:4, 19:5, 20:4
, 19:6, 19:5, 20:6
, 19:7, 20:6, 19:6
, 18:7, 19:6, 19:7
, 18:7, 19:8, 19:7
, 19:7, 20:8, 19:8
, 19:9, 20:8, 19:8
, 18:9, 19:8, 19:9
, 18:9, 19:10, 19:9
, 19:9, 20:10, 19:10
, 19:11, 20:10, 19:10
, 18:11, 19:10, 19:11
, 18:11, 19:12, 19:11
, 19:11, 20:12, 19:12
, 19:13, 20:12, 19:12
, 18:13, 19:12, 19:13
, 18:13, 19:14, 19:13
, 19:13, 20:14, 19:14
, 19:15, 20:14, 19:14
, 19:14, 19:16, 19:15
, 19:15, 20:16, 19:16
, 19:17, 20:16, 19:16
, 19:16, 19:18, 19:17
, 19:17, 20:18, 19:18
, 19:19, 20:18, 19:18
, 19:18, 19:20, 19:19
, 19:19, 20:20, 19:20
, 19:21, 20:20, 19:20
, 18:21, 19:20, 19:21
, 18:21, 19:22, 19:21
, 19:21, 20:22, 19:22
, 19:23, 20:22, 19:22
, 18:23, 19:22, 19:23
, 18:23, 19:24, 19:23
, 19:23, 20:24, 19:24
, 19:25, 20:24, 19:24
, 18:25, 19:24, 19:25
, 20:0, 20:1, 21:0
, 21:0, 21:1, 20:1
, 21:2, 21:1, 20:1
, 20:2, 20:1, 21:2
, 20:3, 21:2, 20:2
, 19:3, 20:2, 20:3
, 19:3, 20:4, 20:3
, 20:3, 21:4, 20:4
, 20:5, 21:4, 20:4
, 19:5, 20:4, 20:5
, 19:5, 20:6, 20:5
, 20:5, 21:6, 20:6
, 20:7, 21:6, 20:6
, 19:7, 20:6, 20:7
, 19:7, 20:8, 20:7
, 20:7, 21:8, 20:8
, 20:9, 21:8, 20:8
, 19:9, 20:8, 20:9
, 19:9, 20:10, 20:9
, 20:9, 21:10, 20:10
, 20:11, 21:10, 20:10
, 19:11, 20:10, 20:11
, 19:11, 20:12, 20:11
, 20:11, 21:12, 20:12
, 20:13, 21:12, 20:12
, 19:13, 20:12, 20:13
, 19:13, 20:14, 20:13
, 20:13, 21:14, 20:14
, 20:15, 21:14, 20:14
, 19:15, 20:14, 20:15
, 19:15, 20:16, 20:15
, 20:15, 21:16, 20:16
, 20:17, 21:16, 20:16
, 19:17, 20:16, 20:17
, 19:17, 20:18, 20:17
, 20:17, 21:18, 20:18
, 20:19, 21:18, 20:18
, 19:19, 20:18, 20:19
, 19:19, 20:20, 20:19
, 20:19, 21:20, 20:20
, 20:21, 21:20, 20:20
, 19:21, 20:20, 20:21
, 19:21, 20:22, 20:21
, 20:21, 21:22, 20:22
, 20:23, 21:22, 20:22
, 19:23, 20:22, 20:23
, 19:23, 20:24, 20:23
, 20:23, 21:24, 20:24
, 20:25, 21:24, 20:24
, 19:25, 20:24, 20:25
, 21:1, 22:0, 21:0
, 21:1, 22:2, 21:2
, 21:3, 22:2, 21:2
, 20:3, 21:2, 21:3
, 20:3, 21:4, 21:3
, 21:3, 22:4, 21:4
, 21:5, 22:4, 21:4
, 20:5, 21:4, 21:5
, 20:5, 21:6, 21:5
, 21:5, 22:6, 21:6
, 21:7, 22:6, 21:6
, 20:7, 21:6, 21:7
, 20:7, 21:8, 21:7
, 21:7, 22:8, 21:8
, 21:9, 22:8, 21:8
, 20:9, 21:8, 21:9
, 20:9, 21:10, 21:9
, 21:9, 22:10, 21:10
, 21:11, 22:10, 21:10
, 20:11, 21:10, 21:11
, 20:11, 21:12, 21:11
, 21:11, 22:12, 21:12
, 21:13, 22:12, 21:12
, 20:13, 21:12, 21:13
, 20:13, 21:14, 21:13
, 21:13, 22:14, 21:14
, 21:15, 22:14, 21:14
, 20:15, 21:14, 21:15
, 20:15, 21:16, 21:15
, 21:15, 22:16, 21:16
, 21:17, 22:16, 21:16
, 20:17, 21:16, 21:17
, 20:17, 21:18, 21:17
, 21:17, 22:18, 21:18
, 21:19, 22:18, 21:18
, 20:19, 21:18, 21:19
, 20:19, 21:20, 21:19
, 20:21, 21:20, 21:21
, 20:21, 21:22, 21:21
, 20:23, 21:22, 21:23
, 21:24, 21:23, 20:23
, 21:24, 21:25, 20:25
, 22:1, 23:0, 22:0
, 21:1, 22:0, 22:1
, 21:1, 22:2, 22:1
, 22:1, 23:2, 22:2
, 22:3, 23:2, 22:2
, 21:3, 22:2, 22:3
, 21:3, 22:4, 22:3
, 22:3, 23:4, 22:4
, 22:5, 23:4, 22:4
, 21:5, 22:4, 22:5
, 21:5, 22:6, 22:5
, 22:5, 23:6, 22:6
, 22:7, 23:6, 22:6
, 21:7, 22:6, 22:7
, 21:7, 22:8, 22:7
, 22:7, 23:8, 22:8
, 22:9, 23:8, 22:8
, 21:9, 22:8, 22:9
, 21:9, 22:10, 22:9
, 22:9, 23:10, 22:10
, 22:11, 23:10, 22:10
, 21:11, 22:10, 22:11
, 21:11, 22:12, 22:11
, 22:11, 23:12, 22:12
, 22:13, 23:12, 22:12
, 21:13, 22:12, 22:13
, 21:13, 22:14, 22:13
, 22:13, 23:14, 22:14
, 22:15, 23:14, 22:14
, 21:15, 22:14, 22:15
, 21:15, 22:16, 22:15
, 22:15, 23:16, 22:16
, 22:17, 23:16, 22:16
, 21:17, 22:16, 22:17
, 21:17, 22:18, 22:17
, 22:17, 23:18, 22:18
, 22:19, 23:18, 22:18
, 21:19, 22:18, 22:19
, 22:20, 22:19, 21:19
, 21:20, 21:19, 22:20
, 21:20, 21:21, 22:20
, 22:20, 22:21, 21:21
, 22:22, 22:21, 21:21
, 21:22, 21:21, 22:22
, 21:22, 21:23, 22:22
, 22:22, 22:23, 21:23
, 22:24, 22:23, 21:23
, 21:24, 21:23, 22:24
, 21:24, 21:25, 22:24
, 22:24, 22:25, 21:25
, 23:1, 24:0, 23:0
, 22:1, 23:0, 23:1
, 22:1, 23:2, 23:1
, 23:1, 24:2, 23:2
, 23:3, 24:2, 23:2
, 22:3, 23:2, 23:3
, 22:3, 23:4, 23:3
, 23:3, 24:4, 23:4
, 23:5, 24:4, 23:4
, 22:5, 23:4, 23:5
, 22:5, 23:6, 23:5
, 23:5, 24:6, 23:6
, 23:7, 24:6, 23:6
, 22:7, 23:6, 23:7
, 22:7, 23:8, 23:7
, 23:7, 24:8, 23:8
, 23:9, 24:8, 23:8
, 22:9, 23:8, 23:9
, 22:9, 23:10, 23:9
, 23:9, 24:10, 23:10
, 23:11, 24:10, 23:10
, 22:11, 23:10, 23:11
, 22:11, 23:12, 23:11
, 22:13, 23:12, 23:13
, 22:13, 23:14, 23:13
, 22:15, 23:14, 23:15
, 23:16, 23:15, 22:15
, 23:16, 23:17, 22:17
, 23:18, 23:17, 22:17
, 23:18, 23:19, 22:19
, 23:20, 23:19, 22:19
, 22:20, 22:19, 23:20
, 22:20, 22:21, 23:20
, 23:20, 23:21, 22:21
, 23:22, 23:21, 22:21
, 22:22, 22:21, 23:22
, 22:22, 22:23, 23:22
, 23:22, 23:23, 22:23
, 23:24, 23:23, 22:23
, 22:24, 22:23, 23:24
, 22:24, 22:25, 23:24
, 23:24, 23:25, 22:25
, 24:1, 25:0, 24:0
, 23:1, 24:0, 24:1
, 23:1, 24:2, 24:1
, 24:1, 25:2, 24:2
, 24:3, 25:2, 24:2
, 23:3, 24:2, 24:3
, 23:3, 24:4, 24:3
, 24:3, 25:4, 24:4
, 24:5, 25:4, 24:4
, 23:5, 24:4, 24:5
, 23:5, 24:6, 24:5
, 24:5, 25:6, 24:6
, 24:7, 25:6, 24:6
, 23:7, 24:6, 24:7
, 23:7, 24:8, 24:7
, 24:7, 25:8, 24:8
, 24:9, 25:8, 24:8
, 23:9, 24:8, 24:9
, 23:9, 24:10, 24:9
, 24:9, 25:10, 24:10
, 24:11, 25:10, 24:10
, 23:11, 24:10, 24:11
, 24:12, 24:11, 23:11
, 23:12, 23:11, 24:12
, 23:12, 23:13, 24:12
, 24:12, 24:13, 23:13
, 24:14, 24:13, 23:13
, 23:14, 23:13, 24:14
, 23:14, 23:15, 24:14
, 24:14, 24:15, 23:15
, 24:16, 24:15, 23:15
, 23:16, 23:15, 24:16
, 23:16, 23:17, 24:16
, 24:16, 24:17, 23:17
, 24:18, 24:17, 23:17
, 23:18, 23:17, 24:18
, 23:18, 23:19, 24:18
, 24:18, 24:19, 23:19
, 24:20, 24:19, 23:19
, 23:20, 23:19, 24:20
, 23:20, 23:21, 24:20
, 24:20, 24:21, 23:21
, 24:22, 24:21, 23:21
, 23:22, 23:21, 24:22
, 23:22, 23:23, 24:22
, 24:22, 24:23, 23:23
, 24:24, 24:23, 23:23
, 23:24, 23:23, 24:24
, 23:24, 23:25, 24:24
, 24:24, 24:25, 23:25
, 25:1, 26:0, 25:0
, 24:1, 25:0, 25:1
, 24:1, 25:2, 25:1
, 25:1, 26:2, 25:2
, 25:3, 26:2, 25:2
, 24:3, 25:2, 25:3
, 24:3, 25:4, 25:3
, 24:5, 25:4, 25:5
, 24:5, 25:6, 25:5
, 24:7, 25:6, 25:7
, 25:8, 25:7, 24:7
, 25:8, 25:9, 24:9
, 25:10, 25:9, 24:9
, 25:10, 25:11, 24:11
, 25:12, 25:11, 24:11
, 24:12, 24:11, 25:12
, 24:12, 24:13, 25:12
, 25:12, 25:13, 24:13
, 25:14, 25:13, 24:13
, 24:14, 24:13, 25:14
, 24:14, 24:15, 25:14
, 25:14, 25:15, 24:15
, 25:16, 25:15, 24:15
, 24:16, 24:15, 25:16
, 24:16, 24:17, 25:16
, 25:16, 25:17, 24:17
, 25:18, 25:17, 24:17
, 24:18, 24:17, 25:18
, 24:18, 24:19, 25:18
, 25:18, 25:19, 24:19
, 25:20, 25:19, 24:19
, 24:20, 24:19, 25:20
, 24:20, 24:21, 25:20
, 25:20, 25:21, 24:21
, 25:22, 25:21, 24:21
, 24:22, 24:21, 25:22
, 24:22, 24:23, 25:22
, 25:22, 25:23, 24:23
, 25:24, 25:23, 24:23
, 24:24, 24:23, 25:24
, 24:24, 24:25, 25:24
, 25:24, 25:25, 24:25
, 26:1, 27:0, 26:0
, 25:1, 26:0, 26:1
